,Season Number,Season Start,Season End,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,``,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount
116,1,20-Dec-21,04-Feb-22,35,The Final Destination,117,Woloo,Technology/Software,Washroom Finder,3,1,2,0,0,Middle,2020,Mumbai,Maharashtra,108,0,0,0,50,4,1250,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,20-Dec-21,04-Feb-22,35,The Final Destination,118,ElcareIndia,Medical/Health,Carenting for Elders,3,2,1,0,0,Middle,2021,Mumbai,Maharashtra,60,0,30,0,100,2.5,4000,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,20-Dec-21,04-Feb-22,36,Gateway To Shark Tank India,119,SneaKare,Beauty/Fashion,Shoe Sneaker kits storage crates,1,1,0,0,0,Young,2020,Delhi,Delhi,0,7,0,0,20,5,400,1,1,21,12,0,0,175,3,no,0,0,0,0,7,4,0,0,0,0,7,4,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,20-Dec-21,04-Feb-22,36,Gateway To Shark Tank India,120,FrenchCrown,Beauty/Fashion,Clothes,2,2,0,0,0,Middle,2017,Surat,Gujarat,7200,0,70,0,150,0.33,45455,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,20-Dec-21,04-Feb-22,36,Gateway To Shark Tank India,121,StoreMyGoods,Services,Storage solutions,3,2,1,0,1,Middle,2020,Noida,Uttar Pradesh,100,0,0,0,100,1.75,5714,1,1,50,4,50,0,1250,2,no,0,0,0,0,25,2,25,0,0,0,0,0,0,0,0,0,25,2,25,0,0,0,0,0,0,0,0,0
121,1,20-Dec-21,04-Feb-22,36,Gateway To Shark Tank India,122,Devnagri,Technology/Software,Translation of language content,2,2,0,0,0,Middle,2020,Delhi,Delhi,500,0,0,0,100,1,10000,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,20-Dec-21,04-Feb-22,0,Unseen,123,WitBlox,Manufacturing,Kids playing equipment,2,1,1,0,0,Middle,2020,Mumbai,Maharashtra,0,0,0,0,60,3,2000,1,1,60,10,0,0,600,2,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,30,5,0,0,0,0,0,0,0
123,1,20-Dec-21,04-Feb-22,0,Unseen,124,Kineer,Food,Packaged drinking water,2,1,0,1,0,Middle,2018,Pune,Maharashtra,0,2,0,0,100,10,1000,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,20-Dec-21,04-Feb-22,0,Unseen,125,PiChem,Manufacturing,Chemical products,1,1,0,0,0,Young,2021,Lucknow,Uttar Pradesh,0,1.77,50,0,40,5,800,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,20-Dec-21,04-Feb-22,0,Unseen,126,Clensta,Beauty/Fashion,Waterless bathing technology products,1,1,0,0,0,Middle,2017,Delhi,Delhi,0,150,0,0,100,1,10000,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
